File_Name,True_Label,True_CWE,Variant_A_Baseline,Variant_E_Full
CWE_862_XPath__array-GET__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__backticks__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__backticks__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__backticks__whitelist_using_array__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__exec__CAST-cast_int__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__exec__ternary_white_list__concatenation-right_verification.php,Safe,,Vulnerable,Vulnerable
CWE_862_XPath__exec__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__exec__whitelist_using_array__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__fopen__CAST-cast_int__concatenation-right_verification.php,Safe,,Vulnerable,Vulnerable
CWE_862_XPath__fopen__ternary_white_list__concatenation-right_verification.php,Safe,,Vulnerable,Safe
CWE_862_XPath__fopen__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__fopen__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-Array__CAST-cast_int__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-Array__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-Array__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__object-Array__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-classicGet__CAST-cast_int__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-classicGet__ternary_white_list__concatenation-right_verification.php,Safe,,Safe,Safe
CWE_862_XPath__object-classicGet__ternary_white_list__username_at-concatenation_simple_quote.php,Safe,,Safe,Safe
CWE_862_XPath__object-classicGet__whitelist_using_array__concatenation-right_verification.php,Safe,,Safe,Safe
